smiles,score
CC1(C)CN(C(=O)CC2CC[NH2+]CC2)C[C@@H]1c1ccccc1,-7.3
O=C(N[C@@H]1COC[C@H]1Cc1ccncc1)c1cccc(O)c1,-7.8
O=C(CSc1ccccc1)N1CCC[C@H](C[NH+]2CCCC2)C1,-6.6
Cc1cc(C)nc(CCNC(=O)C2CCN(C(=O)CC(C)C)CC2)n1,-6.9
Cc1nc(-c2cccc(NC(=O)NCCN3CCNC3=O)c2)cs1,-6.8
[NH3+]CC(=O)N1CCC2(CC1)OCCc1cc(C(=O)N[C@H]3CCC[C@H]3CO)sc12,-7.9
C=CCn1cc(C[N@H+]2C[C@@H](Oc3ccccc3C)C2)c(C)n1,-6.7
COc1cc(Cl)cc(C(=O)N2C[C@@H](Cc3cc(C)n[nH]3)[C@H](O)C2)c1,-7.1
Cc1nc(C)c(-c2cccc(C(=O)NCCCn3ccnn3)c2)s1,-7.4
Cc1ccn2cc(CNC(=O)CCCc3ccc(Cl)cc3)nc2c1,-7.3
Cc1cc(N2CC[C@]3(CC(=O)c4ccccc4O3)C2)n2nccc2n1,-8.6
CCC[C@]1(CO)CC[N@@H+](Cc2ccc3cc(OC)ccc3c2)C[C@H]1O,-7.0
CN(CCc1ccccn1)C(=O)CC[C@@H]1CCCN(C(=O)CCOc2ccccc2)C1,-7.2
CC(C)[C@H](NC(=O)N(C)Cc1cc(-c2cccs2)n[nH]1)c1ncnn1C,-6.8
Cc1ccc(OC(C)(C)C(=O)Nc2ccc(-c3nnc(C)[nH]3)cc2)cc1,-7.9
Cc1nnnn1-c1cccc(NC(=O)c2cnn(-c3ccccn3)c2C)c1,-8.6
COc1cccc(CN2CC[N@H+](Cc3ccc(C#CC(C)(C)O)cc3)CCC2=O)c1,-7.0
O=C(c1cc(C(F)(F)F)ccc1Cl)N1CCC[C@@](CO)(Cc2ccccc2F)C1,-8.7
O=C(c1cccc2nccnc12)N1CCC(c2[nH]ncc2-c2ccccc2)CC1,-9.4
O=C(c1ccc(C(F)(F)F)cc1C(F)(F)F)N1CC[C@H](CO)[C@@H](O)C1,-7.6
C[C@@H](CCn1cccn1)n1cnc(-c2ccccc2)c1-c1ccc(O)cc1,-7.6
COc1ccc(Cc2nc([C@]3(C)CC[N@H+](C)C3)n(-c3ccncc3)n2)cc1,-7.9
C[C@@H]1Cc2cc(C(=O)N[C@H]3C[C@@H](C(=O)[O-])C3)ccc2O1,-7.1
C[NH2+]CC(=O)N[C@H]1C[C@H]2CO[C@H](C(C)C)C[N@H+]2C1,-5.7
Cc1nc(C[N@H+]2CCC[C@@]23CCCN([C@H]2CC[C@H](O)CC2)C3=O)no1,-7.9
CCn1nc(C)cc1C(=O)N1CCC[C@@]2(C1)C[N@H+](C)CC[C@@H]2O,-7.1
Cc1nc(CNC(=O)c2ccc(C)c(N3CCNC3=O)c2)cc(=O)[nH]1,-8.4
Cc1cc(C)n(CCCNC(=O)c2ccccc2N2CCC(=O)NC2=O)n1,-7.8
CCOC(=O)[C@]1(CCOc2ccccc2)CCC[N@H+](Cc2ccc(CO)o2)C1,-7.1
Cc1nnnn1CCC(=O)NC[C@@H](c1ccc(F)cc1)[NH+]1CCCCC1,-7.7
COc1cc(F)ccc1C[N@H+]1CC[C@H](O)[C@H](C(=O)[O-])C1,-6.4
