smiles,score
N#Cc1cccnc1-c1ccc(C(=O)N2CC[C@@H]3CCCC[C@H]3C2)cc1,-4.99486
CC[C@@H]1NC(=O)[C@H]2CN(C(=O)c3ccccc3Cl)CCN2C1=O,-4.76961
Cc1nc(C[N@H+](C)Cc2c[nH]nc2-c2ccccc2)cn1C,-3.35801
CCC[C@@H]1CN(c2nc3cc(C)ccc3o2)C[C@H]1NS(C)(=O)=O,-5.02988
CCN(C)S(=O)(=O)N1CCCN(C(=O)[C@H]2CC(=O)N(C)C2(C)C)CC1,-3.6495
COc1ccc(C[C@H]2CCN(C(=O)Cc3c(C)[nH][nH]c3=O)C2)cc1,-4.37332
O=C(CCc1nnc(Cc2c[nH]c3ccccc23)o1)NC1(c2ccccc2)CC1,-4.8685
COc1ccnc(N2CCC(c3nccn3Cc3cccnc3)CC2)n1,-2.91573
COCC[C@]1(CO)CCCN(C(=O)C(C)(C)OC)C1,-3.34998
O=C(Cc1ccc2c(c1)OCO2)N1CC[C@](O)(c2ccccc2)[C@H]([NH+]2CCCC2)C1,-4.52311
CC(=O)N1CCC[C@@H](Nc2ncc(F)cn2)C1,-4.66322
Cn1ncc(NC(=O)c2ccc3ncccc3c2)n1,-4.6476
O=C(Cn1nc2ccccc2n1)N1C[C@@H](Cc2ccncc2)[C@@H](O)C1,-5.32211
O=C(C[NH+]1CCCCCC1)N1CCC[C@](CO)(CC2CC2)C1,-4.39656
CCSc1ccccc1NC(=O)c1cccc2nccnc12,-5.36564
O=C(N[C@@H]1COCC[C@@H]1OCC1CCC1)c1cncc(Cl)c1,-3.96819
CCCn1nc(C)c(NC(=O)c2nn(C)c(C)c2Cl)c1C,-3.7258
O=C(NCc1cccnc1-n1cncn1)c1onc2ncccc12,-4.13789
CN(C)S(=O)(=O)C[C@@H]1C[N@H+](Cc2cccc3nonc23)C[C@@H]1O,-5.02404
CCN(CC)C(=O)Cn1cc(C(=O)NCCCc2scnc2C)nn1,-3.70085
O=C(c1ccc(-c2ccccc2O)cc1)N1CCC2(CCCC2)C1,-4.69373
CC(=O)N1C[C@@H]([NH3+])CC[C@@H](C(=O)NCCCCc2ccccc2)C1,-6.2784
Cc1cnc(C)c(-c2cccc3c2O[C@H](CNC(=O)Cc2ccccc2Cl)C3)n1,-4.62963
Cc1cccc(F)c1C(=O)N1C[C@@H]2OCCC(=O)N(Cc3ccccc3)[C@H]2C1,-4.2534
N#Cc1c(N)ncnc1N1CC[C@](O)(c2ccccc2)[C@H]([NH+]2CCCC2)C1,-5.46803
Cc1ccc(-c2nnc(C[N@H+]3CCCC[C@@H]3c3ccccn3)o2)n1C,-4.86148
CSc1nnc(CNC(=O)C2CCC2)n1-c1ccccc1C,-4.21669
CN(Cc1cc(-c2ccccn2)no1)C(=O)Cn1ncc(N(C)C)cc1=O,-4.19999
CC[C@H](Nc1cccc(OC)c1)C(=O)NCCOc1ccccc1,-3.49005
CCSc1nc(CC(=O)NC[C@@H](c2cccnc2)[NH+]2CCCC2)cs1,-4.13945
Cc1cccc(C(=O)Nc2nc3c(s2)C(=O)C[C@@H](C(=O)NCC2([NH+]4CCOCC4)CCCC2)C3)c1,-4.17237
COc1ccc(F)cc1-c1cc(-c2c(C)n[nH]c2C)nc(N)c1C#N,-4.80994
CCc1ccccc1C(=O)NC[C@H]1[C@H]2C[N@H+](C3CCCC3)C[C@]23CC[C@H]1O3,-4.74823
Cc1nc(-c2ccncc2)ncc1[C@@H](C)NC(=O)c1ncoc1C1CC1,-4.75745
CCN(CCOC)C(=O)c1cccc(-c2cnc3cccnn23)c1,-5.12078
COc1nccnc1N1CCC2(CC1)OCCc1sc(C(=O)[O-])cc12,-3.93669
O=C(c1c[nH]nc1-c1ccccc1)N1CCC[C@H]1c1ccccn1,-5.29968
Cc1nc([C@@H](C)NC(=O)CCCOc2ccccc2)cs1,-3.92284
CCCc1ccc(C[N@@H+]2C[C@@H]3COC[C@]3(C(=O)NCc3cnc(C)cn3)C2)o1,-4.24566
Cn1cc(C[N@@H+](C)Cc2c(C(=O)N3CCCCC3)nc3sccn23)cn1,-3.53383
O=C(c1cc(-c2ccccn2)n[nH]1)N1CCC(Cc2ccccc2F)CC1,-4.51566
COc1ccc(OC[C@@H](O)C[NH+](C)C)c(C[NH2+]CCSC)c1,-4.70069
Cc1nc2ccccc2n1CCC(=O)N[C@@H](c1ccccc1)[C@H]1C[C@@H](O)C1,-3.9662
Cc1cc(CNC(=O)Cn2c(C)cc(C)nc2=O)ccn1,-3.54979
Cn1cc(Cl)c(C(=O)NCc2ccc(C(F)(F)F)cc2F)n1,-4.43931
Cc1cc(C(=O)N2CC[C@@]3(c4ccccc4)NC(=O)CO[C@@H]3C2)cnc1C,-4.2988
Cc1c(C(=O)N2C[C@@H](Cc3ccncc3)[C@H](O)C2)cnn1C,-4.22298
CNc1cc(C)nc(N2CCCn3nc(CNC(=O)C4CCC4)cc3C2)n1,-4.4695
Cc1cc(CC(=O)Nc2cccc(-c3nncn3C)c2C)on1,-4.17619
C[NH+](C)CCCn1ccnc1[C@@H]1CCCN(C(=O)C[NH+]2CCCCCC2)C1,-3.65319
COc1ccc(-c2n[nH]cc2C[N@H+]2CC[C@H]([C@]3(CCc4ccccc4)NC(=O)NC3=O)CC2)cc1,-4.3973
O=C(Nc1ccc(-c2ccco2)cc1)[C@H]1CCC[N@@H+](Cc2cccn2-c2cccnc2)C1,-4.76861
Cc1ccn2c(C[N@H+](C)CCOc3ccccc3)c(C(=O)N3CCCCCC3)nc2c1,-2.84358
C[N@H+]1CC[C@@H](Cc2noc([C@H](c3cccnc3)[NH+]3CCCC3)n2)CC1,-3.31223
O=C1CC[C@@H](C(=O)N2CCCN(S(=O)(=O)c3ccccc3Cl)CC2)N1,-4.50678
CCc1nc(-c2sc(-c3ncccn3)nc2CC)n(CCCO)n1,-5.69774
O=C(N[C@@H]1COCC[C@H]1OCc1ccccn1)c1ccc2nccn2c1,-4.14499
CCOCc1nc2c(c(N(C)Cc3ccon3)n1)CC[NH2+]CC2,-4.79539
Cn1nc(C(F)F)cc1C(=O)N1CCC([C@@H](O)c2cccs2)CC1,-4.26238
CC(C)CN1C(=O)N(C)C(=O)C12CCN(C(=O)c1ccncc1F)CC2,-4.40893
Cn1cc([C@@H]2N(C(=O)CN3CCCC3=O)CC[C@]23C(=O)Nc2ccccc23)cn1,-4.72428
CC1=CC[C@@H]2CN(C(=O)Cn3cc(C)c(=O)[nH]c3=O)C[C@@H]2C1,-4.60396
CC(C)(C)C(=O)Nc1ccc(NC(=O)COc2cccnc2)cc1Cl,-4.37814
Cc1cccn2ncc(C(=O)N(CC3CC3)C[C@H]3CCCO3)c12,-4.80186
CCc1nc(C[C@H]2CN(C(=O)Cn3ncc4ccccc4c3=O)CCO2)no1,-5.2699
COCCC[C@H]1CC[N@H+](Cc2nc(Cc3cccc(F)c3)no2)CC1,-4.24478
O=c1[nH]c(C2CCCC2)nc2c1CC[NH2+]C2,-4.57617
CS(=O)(=O)N1C[C@H]2CN(c3ncccc3C(=O)[O-])C[C@H]2[C@@H]1c1ccccc1,-5.37112
COc1ccc2cc(C(=O)NCCCn3ccccc3=O)n(C)c2c1,-4.16875
Cc1ccc(C(=O)N2CCC[C@]3(CC2)CC(=O)c2ccccc2O3)n1C(F)F,-4.45627
CCNC(=O)c1cn2cc(-c3cc(C)oc3C)n(CC=C(C)C)c(=O)c2n1,-3.4313
Cc1cc2c(cc1-c1cc(C)c3cc(N4CCOCC4)ccc3n1)OCCO2,-6.09902
O=C(c1cnccn1)N1CCO[C@@H](Cc2ccccc2Cl)C1,-4.42465
COCCNC(=O)c1ccc(OC)cc1O[C@H]1CC[N@@H+](Cc2cnc(SC)nc2)CC1,-4.17545
Cc1cc(C(=O)N[C@@H](c2nnc(N)s2)C(C)C)nn1C(F)F,-4.67396
N#Cc1ccc(O[C@@H]2CCOC[C@H]2NC(=O)c2cc(F)ccc2Cl)cc1,-2.89378
O=C(c1cnn(Cc2ccccc2)c1)N1CCC(Cc2ccc(=O)[nH]c2)CC1,-3.93432
CSCc1ccc(C(=O)N2Cc3nnc(C)n3[C@H](C)C2)o1,-4.05258
Cc1cccc2ncc(C(=O)NCC3=CCCCC3)c(=O)n12,-4.52243
OC[C@@H]1[C@@H](c2ccccc2)[C@]12CN(c1ncccc1C(F)(F)F)C[C@H]2O,-5.90322
CC(=O)N1C[C@@H]2CN(c3ncc(F)c(N4CCOCC4)n3)C[C@]2(CCC(=O)[O-])C1,-5.19894
C=C(C)CNC(=O)c1cc(COc2c(C)cccc2C)on1,-3.15377
Cc1nc(C)c(C(=O)N[C@@H]2COCC[C@@H]2OCc2ccccc2)o1,-4.16583
CCCc1nc2ccccc2n1[C@H](C)C(=O)N(C)Cc1ccn[nH]1,-3.80247
CC(C)Cn1cncc1CNC(=O)Nc1cccc(CC(N)=O)c1,-4.79873
CCCc1n[nH]cc1C(=O)N(C)Cc1ccc(-n2cccn2)cc1,-3.778
Cc1cc(C(=O)N2CCn3nc(C(=O)NCc4ccccn4)cc3C2)[nH]n1,-3.99506
CN1C(=O)CCO[C@H]2CN(C(=O)c3ccc(-c4cncc5[nH]cnc45)cc3)C[C@@H]21,-3.13639
Fc1ccc(N2CCC[N@@H+](Cc3ccc4nonc4c3)CC2)cc1,-3.98087
COc1cc(CCC(=O)N[C@H]2CCCc3sc(C)nc32)ccc1O,-3.42487
COc1cc(C[N@@H+]2CC[C@@H](CNS(C)(=O)=O)C2)cc(OC)c1,-4.66046
COC(C)(C)CCNC(=O)[C@H](C)N1CCCC1=O,-3.70364
Cn1c(=O)[nH]cc(CC(=O)N2CCC[C@H](c3ccc(Cl)cc3)C2)c1=O,-6.06414
CC(C)c1csc(-c2nccn2CC[C@H]2C[NH2+]CCO2)n1,-4.82628
CN1CCN(CCNC(=O)c2ccc[nH]2)C1=O,-5.03168
CN(CC(=O)N1CCC(c2nccn2Cc2ccncc2)CC1)c1ccccc1,-4.23093
Cc1nc2cc(-c3cccc(S(C)(=O)=O)c3)ccc2s1,-5.4292
O=C(NC[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)[C@@H]1CCC(=O)N(Cc2ccc(Cl)cc2)C1,-3.15056
O=C(N[C@@H]1CCOC2(CCOCC2)C1)c1ccc(-c2ccccc2)cc1,-4.32164
COc1ccc(-c2ccc(C(=O)N3CC[C@@H]3c3cccc(OC)c3)o2)cc1,-4.32089
Cc1cc(C(=O)NCCc2csc(N)n2)c2ccc(C)c(C)c2n1,-4.0469
CCCc1nc(C(=O)N[C@H]2CC[C@@H](C(=O)[O-])CC2)cs1,-3.83413
O=C(c1cccc(-c2cc3ccccc3oc2=O)c1)N1CCN(c2cnccn2)CC1,-6.5053
Cc1nc(S(=O)(=O)NC[C@H]2[C@H]3CN(c4ncccc4Cl)C[C@]34CC[C@H]2O4)cn1C,-4.49089
Cc1nc(-c2nccn2Cc2cccc3ncnn23)cn1C,-4.5005
COc1cc(N[C@@H]2CC(=O)N(C(C)C)C2)ncn1,-4.02083
CCC[C@@H]1CN(c2nc3ccccc3o2)C[C@H]1NS(C)(=O)=O,-4.80349
CC(=O)N1C[C@H]2C[C@@H](C1)[C@H](C(=O)N(C)Cc1ccc(C)s1)n1c2cccc1=O,-4.32581
Clc1ccc(-n2ccnc2-c2ccccc2)nc1,-5.0441
CCc1n[nH]c(C(=O)N[C@H]2[C@@H](COC)[C@H]3OCC[C@@H]23)c1C,-4.2446
CC1(C(=O)N2CCc3ncc(CNC(=O)c4ccc(Cl)cc4F)cc3C2)CC1,-3.48891
Cn1cccc1C(=O)N1CC2(C1)C[NH+](C)C2,-3.7215
COc1ccccc1-n1cc(C[N@H+]2CC[C@]3(CC2)C[C@H]3C(=O)N(C)CCOc2ccc(C)cc2)cn1,-6.28917
CCn1nc(C(C)C)cc1C(=O)N1CCC[C@](C)(Cc2ccc3c(c2)OCO3)C1,-6.12373
CC[NH+](CC)Cc1cc(C(=O)N(C)[C@@H](C)c2c(C)n[nH]c2C)c(C)o1,-4.56385
O=S1(=O)COCCN1CCCn1cccn1,-4.47198
Fc1cnc(C[N@H+]2CC[C@@H](Cc3ccccc3)CC2)c(F)c1,-3.85608
NC(=O)COc1cccc(C[N@@H+](Cc2ccc(F)cc2)C[C@@H]2CCCO2)c1,-4.50919
COc1ccc(C(=O)N[C@H]2CO[C@H]3[C@@H]2OC[C@H]3O)cc1O,-3.73284
CCc1nccn1CCC(=O)N1CC[C@@]2(CCCN(CC3CC3)C2=O)C1,-4.3246
Cc1cc(C)n(CCCNC(=O)c2ccccc2N2CCC(=O)NC2=O)n1,-4.11971
Cc1ccsc1C(=O)N1C[C@@H]2[C@H](CNC(=O)C3CCC3)[C@H]3CC[C@]2(C1)O3,-4.33988
Cc1cnc(C[N@@H+]2[C@@H]3CC[C@H]2[C@](CO)(Cc2ccccc2)C3)cn1,-4.14333
Cc1ccc(N(CC(=O)N[C@H](C)c2nncn2C)S(C)(=O)=O)cc1,-4.17862
O=C(N[C@]1(c2ccccc2)CC[NH2+]C[C@H]1O)c1cc(-n2cccn2)ccc1Cl,-5.97786
Cc1cc(C)n2nc(C)c(C(=O)NCc3nc4ncccc4o3)c2n1,-3.94351
COCCNC(=O)c1ccc(NC(=O)c2cccc(C[C@H]3CC[NH2+]C3)c2)c(C)c1,-5.69498
Cc1cc2c(cn1)CN(C(=O)COC[C@H]1CCCCO1)C2,-3.86992
CO[C@H]1COC[C@H]1n1ccnc1-c1cnc(-c2ccc(Cl)cc2)nc1,-4.90605
O=S(=O)(c1ccc(Cl)s1)N1CCC(n2c(CCc3ccccc3)nc3cccnc32)CC1,-3.99966
O=C([O-])c1cncc(-c2cccc(C[NH+]3CCOCC3)c2)n1,-3.19489
C[C@@H](O)c1cccc(-n2ccnc2)c1,-3.5655
CO[C@H]1C[N@@H+](CCc2ccc(O)cc2)C[C@H]1Cc1cc(C)no1,-2.93844
C[NH+](C)Cc1ccccc1Oc1ccc(F)c(CO)c1,-3.96425
CSCc1noc([C@H]2CC(=O)N(c3ccc(C(C)C)cc3)C2)n1,-5.19097
COCCn1cnnc1[C@H](C)NC(=O)c1cncc(Cl)c1,-4.77608
O=C(CCC(=O)c1ccc(F)cc1)NC[C@H]1CCOC1,-3.16578
Cc1ccc(-n2ncc(-c3ccccc3)c2NC(=O)[C@@H]2CCC(=O)NC2)cc1,-5.29256
COC(=O)[C@H]1[C@@H]2CN(C(=O)[C@H](C)Oc3ccc4c5c(c(=O)oc4c3C)CCC5)C[C@@H]21,-4.70766
Cc1nn(CC(=O)N2CCC(C)CC2)c(=O)n1Cc1ccccc1,-4.85796
Cc1c(NC(=O)c2cncc(Cl)c2)c(N2CCCC2)nn1C,-3.66253
CCCCN(Cc1cccnc1)C(=O)c1cccc(-c2ccc(NC)cc2)c1,-4.52383
Cc1nc(CNS(=O)(=O)c2ccc(-c3[nH]nc(C)c3C)o2)cs1,-3.77108
Cc1nc(-c2ccc([C@H](C)[NH+]3CCOCC3)cc2)sc1C(=O)[O-],-3.54767
C=C[C@@H]1CCN(S(=O)(=O)c2ccc(C(=O)NC)cc2)C1,-3.0218
Cc1cc(=O)cc(C(=O)N2C[C@H]3C[C@@H](C2)[C@H](CCC(C)C)[N@@H+]2CCCC[C@@H]32)o1,-4.71569
Cc1ccc(-c2cc(O)c3c(c2)CN(C(=O)Cc2ccccc2)CCO3)s1,-5.08998
Cc1cn(CC(=O)N[C@@H]2CCC[N@@H+](CCc3ccccc3)C2)c(=O)[nH]c1=O,-4.20877
C[NH2+]CCN1C(=O)CC[C@H]2CN(C(=O)c3ccc(COC)o3)CC[C@H]21,-4.85665
CN(CCCc1cnn(C)c1)C(=O)Nc1cc(F)c(C(F)(F)F)cc1F,-4.70316
CCn1nc(CO)c2c1CCN(C(=O)CSc1nnc(N)s1)C2,-5.27144
Cc1ccc(C(=O)N[C@H]2COC[C@@H]2O)cc1NC(=O)C1CCCC1,-4.52334
CCNc1nc(C)c(C(=O)NCc2nncn2C2CCCCC2)s1,-4.28611
CS(=O)(=O)CC[N@@H+]1C[C@H](NC(=O)C2CCCC2)[C@@H](C2CC2)C1,-3.12189
COCCn1c(CO)nnc1[C@H]1C[C@@H](NC(=O)c2cc(C)ccc2Cl)C1,-5.18016
CCc1nnc(N2C[C@H](C(=O)N3CC[NH+](CC(F)(F)F)CC3)CC2=O)s1,-2.02119
